genename Y101_A Y101_B Y101_C Y102_A Y102_B Y102_C Y201_A Y201_B Y201_C Y202_A Y202_B Y202_C Y1015_A Y1015_B Y1015_C
TXNDC12 479386.004102515 559999.445505894 298394.938025434 633405.198646843 548226.128464545 835317.920101118 349195.384044274 372582.866320701 36065.9656832151 1046195.76386124 1191188.58189823 455540.125224362 751680.541888209 491904.919223325 238303.013959478
ITGBL1 21918500.4759549 16786184.1982161 9362782.4376601 15245697.690658 13537854.4721048 12181352.1026397 12071279.1362444 10344307.2517399 6891995.04912965 18021374.1301818 13945805.0433601 11551064.1435202 10526761.5164179 8271563.33582739 16041815.3289047
EFEMP2 5420071.55895348 7377288.14940048 1714575.83164871 4393929.17524408 1544222.75960774 3239270.96176924 3527444.29435316 4030489.78771803 1632547.27045453 5606392.39769202 1893238.47323014 2150821.24500006 1215514.11762939 944421.585860224 1341778.78396301
LDHA 70189686.8016173 64191189.7086278 77193030.9807123 28349092.3753155 26426743.0972848 44797487.3406179 43787727.1396241 67462888.4220825 60220907.5290389 19571038.2730246 45016271.4451148 36639656.9917304 30952353.0481076 38133875.1260731 36186801.2865649
GLUD1 538442.266044812 660345.062681619 172813.249675669 365319.050075937 355333.088007215 589274.156733095 394905.001602062 98078.7435727392 154276.505200088 960458.393395142 796903.785321799 312596.309527271 1294100.49057179 449043.782907732 298301.245510795
GSR 3195905.30062003 1495457.18567846 1168338.61930959 1884354.05287081 3503325.22573876 2244061.28192209 2610858.75324541 3093518.75073159 1173278.70962668 2691166.00440411 2524129.82324414 1842675.923304 5080910.81007897 6218754.88627737 2035555.06019382
SOD1 18923632.4067841 23286330.6435748 25869935.9674603 15984995.3423357 25459204.7817305 35890941.2274761 15080579.1310648 12650740.8388182 8444196.2461038 30473895.5625716 43632603.8112678 28255065.3967411 54717553.447815 83487741.977044 48765593.9784785
PNP 64683.4704412697 73998.5171742065 47528.2616283442 34529.6906133069 124323.167201978 65387.9897018033 117593.448823406 172088.746023381 54384.1710317843 70248.5997735255 342837.513656208 90536.8460827523 342509.820680663 707783.771375043 177753.842206316
HPRT1 230211.440800742 143769.119629737 218509.996951887 142688.252237471 174474.079204122 285826.936931232 79485.2840808952 113958.943396592 194746.556246451 252101.624654231 154109.5164783 175287.275635008 125853.961223988 121323.719988019 155325.29299011
GOT2 31882.0694977184 1962.24563231008 15620.4645319935 11154.5572201193 76023.8446768471 88907.5574797694 36762.2489987519 10755.5662307744 17712.5088229574 386430.924077446 47287.5571282007 107963.111889254 72209.8707182201 145392.790377608 113903.385589388
PGK1 39209900.3556342 27796465.7423699 19218427.3945697 20365077.1269098 26528200.3720239 32733453.3225551 16707736.2801483 15551012.9316474 27198237.3352069 26860076.4025676 46532053.0252906 32756640.6774165 41011357.7949057 35350529.6068105 42860099.5141591
AK1 187345.897918241 122974.729531599 290038.211757061 149463.414019914 164278.606454782 230795.456868227 89826.8376903812 184270.444399989 68384.259604268 129533.593615068 420690.067404743 151503.292948171 377794.87074071 341909.289297618 247707.600371048
C1R 134808662.749047 139111416.901143 86819410.5575777 71669067.7576712 33835644.0126067 51761933.0483248 91445566.5846459 89438843.8128807 59949429.4404419 97690240.5690247 57091067.7028602 33164491.4080098 7679505.22613861 9036879.01735578 20071135.9661086
PLAU 1464810.86450289 1197302.77036115 500777.530799135 1452309.18569951 154599.481605976 186361.330514871 570121.490507697 620962.529364994 19224.1813668456 2670511.25181538 618718.328622334 314923.534405855 317174.874399368 527440.349101292 235506.24665626
PLAT 180302.232101182 307684.15830865 243309.251591937 254180.576240098 252020.175238965 111740.005924989 163444.800655988 348904.75017845 11808.4080683474 337298.85084662 97723.3495098324 203190.570288884 111699.971144764 81596.0395204762 133652.307606394
CFB 5946924.71215343 8250203.66857483 2277368.86277151 3759775.33578718 4032899.99747287 5362066.65631656 1441687.89662431 1632075.16941297 653679.788320811 5683958.35552531 4459836.21021424 2536390.9585397 999123.891035725 1255627.44674951 1077731.95507781
AGT 471172.166638656 343696.975915332 38780.0225319115 204267.976531783 3168.13510073843 107459.687688553 118150.192104931 19963.7253104164 74985.5446068216 178035.985324504 15594.0388543775 74881.0493853892 7728.84722259485 20248.6214999574 16894.4741226266
A2M 28235950.4797931 18237565.6353721 13280933.1766948 7644687.84360799 1930043.36815554 1641972.67888253 72618736.7019456 38364824.8701086 23469857.12925 4167187.53211295 4585705.34909789 1853885.12115922 1377371.84761721 1625108.14659004 1560014.63638876
C3 35808.4761243218 57640.6261325911 38124.0495668445 22443.9802102382 49289.3317394348 41647.1647798309 4014.96142062757 13235.5824342436 297.137639616057 25884.4384755699 22255.7053754742 19401.5534343648 7438.66776117606 2242.81532218144 41898.8823498415
TIMP1 172019814.484538 218362313.997119 122132334.239826 94895304.443859 107369083.321357 134484632.190574 156722190.050873 160072327.615098 242149796.884586 135726767.483971 118829021.438249 87673695.5882171 89228349.1103576 138144869.237901 150863986.163009
CST3 52496505.6367094 67494140.4520454 30206542.3491739 47072154.2368019 39213865.1671484 52077080.3590455 26931944.2406018 32078917.847494 18860232.4494192 64979717.2370609 51454950.8778038 37808179.1917241 35207575.6274721 37305301.9030272 38496589.0913703
LDLR 59732.1656204196 45996.7447236366 30578.7616125723 30275.3150423402 36637.016057414 39093.3035504659 52298.2951289949 51081.228187438 13834.2335674994 77895.7803154913 20995.448994407 63965.8037425594 179744.334964867 151721.841459516 235509.529170795
COL1A1 153182520.107628 204400967.011783 191215551.503648 342148269.746453 267353429.918605 310678386.845754 644635854.954139 227453399.516753 411909865.834134 654091938.183866 492147632.854026 195034744.17608 81924557.951336 121672672.497708 143420767.994708
COL3A1 36746067.4848422 46827375.7570281 59220088.8787582 112173399.592617 126093801.425602 162010733.959972 67895047.2589414 24424189.2353791 76531753.4468034 190254226.376855 152367962.665164 90875043.4045639 14659502.98161 10274028.657174 32019917.1643907
COL4A1 4387879.28014074 4631551.77076321 6863993.71990924 35480319.765247 18886573.1846637 28011669.6520427 90179028.6808608 10486086.0477048 51601375.3319767 71960675.0643154 61866125.641319 17038070.780342 7894322.64657519 7428255.48671999 6364180.18115504
CRYAB 949543.178615799 655644.324501751 637467.013926562 1489513.97239617 1724537.78672553 2044800.90000227 301086.610688271 196391.015247956 58683.9491442037 1071138.45146861 1601987.11909958 838682.021557553 542761.418805849 837952.909603639 432913.325460495
