x y gp
5.90562563668936 5.24683744806448 b
3.74289124645293 1.79022077369468 a
4.75787745602429 3.51876556218606 a
4.10833213292062 3.75883097339736 a
5.50918597355485 5.04469131776721 b
4.60038726683706 4.87869659553304 b
4.0777859389782 3.22836818775829 a
4.49128720164299 4.30797597497692 a
5.22110274527222 3.92221359029013 a
5.2058793483302 4.38746117630585 a
5.96586698573083 4.39461097559985 a
3.32803674787283 4.60348681661794 b
3.50634931959212 1.0988716228079 a
3.30951848812401 3.58105331598661 a
4.68873591721058 4.96662637382463 b
4.54492731858045 3.20912099483841 a
5.09418698679656 2.10445113007104 a
5.28298149444163 3.48779996906047 a
3.26588703133166 1.61653870997889 a
4.89343383163214 4.24424438372222 a
3.63326170202345 2.4137184900786 a
4.81724397372454 3.46897539853989 a
5.42298123892397 5.86108106688755 b
2.54966453276575 1.51524233348656 a
3.74392385594547 2.85219961860407 a
5.56856618821621 6.03563220830852 b
2.07061979360878 1.99795898826101 a
3.73609888274223 2.19269158323938 a
2.59203858207911 2.20299417061898 a
3.11481941770762 2.86099297779026 a
2.05403753463179 2.03675937216814 a
3.97563594672829 3.90854863763829 b
4.86569217219949 4.49159069676233 b
5.03947369195521 4.19784936591239 b
2.07714140135795 0.819088187001329 a
3.35135443974286 3.69079091416129 b
5.97276777215302 5.25636039152567 b
4.51378589775413 2.19582962762277 a
2.76190257910639 3.44825030989573 b
4.65028756204993 3.00961819900372 b
4.40195279568434 1.42924465130819 a
5.48586583323777 6.17156072396182 b
3.70099284872413 2.45782423634144 a
2.53720401972532 0.103357376643825 a
4.97565434034914 2.84886507351727 a
4.18195910938084 5.028435549884 b
2.09839402418584 0.734570289734465 a
2.163724033162 2.91022519683855 a
5.22346466034651 6.22545816794569 b
5.32173196971416 4.57635299976654 b
